car_brand,car_model,year_range,part_category,part_name,part_price,repair_labour_cost,replace_labour_cost,total_repair_cost,total_replace_cost
Toyota,Hyryder,2022-2024,Accessories,Tyre pressure monitoring system (TPMS),5427,600,800,6027,6227
Toyota,Hyryder,2022-2024,Accessories,Illuminated door sill guard,7027,500,600,7527,7627
Toyota,Hyryder,2022-2024,Accessories,Wireless phone charger,10337,600,800,10937,11137
Toyota,Hyryder,2022-2024,Accessories,Speakers,1990,400,500,2390,2490
Toyota,Hyryder,2022-2024,Accessories,Touchscreen system,12500,800,1000,13300,13500
Toyota,Hyryder,2022-2024,Accessories,Seat covers,8538,500,600,9038,9138
Toyota,Hyryder,2022-2024,Accessories,Window sunshades,728,300,400,1028,1128
Toyota,Hyryder,2022-2024,Accessories,Rear windshield sunshade,661,200,300,861,961
Toyota,Hyryder,2022-2024,Accessories,Steering wheel cover,525,200,300,725,825
Toyota,Hyryder,2022-2024,Accessories,3D boot mat,2394,300,400,2694,2794
Toyota,Hyryder,2022-2024,Accessories,Floor mats,2406,200,300,2606,2706
Toyota,Hyryder,2022-2024,Accessories,Cushion,743,100,200,843,943
Toyota,Hyryder,2022-2024,Accessories,Interior styling kit,8755,600,800,9355,9555
Toyota,Hyryder,2022-2024,Accessories,Trunk sill guard,2790,300,400,3090,3190
Toyota,Hyryder,2022-2024,Accessories,Door sill guard,2214,300,400,2514,2614
Maruti,Vitara Brezza,2020-2024,Engine Parts,Radiator,5645,1200,1500,6845,7145
Maruti,Vitara Brezza,2020-2024,Engine Parts,Timing Chain,1159,2000,2500,3159,3659
Maruti,Vitara Brezza,2020-2024,Engine Parts,Fan Belt,410,400,500,810,910
Maruti,Vitara Brezza,2020-2024,Engine Parts,Clutch Plate,3084,2500,3000,5584,6084
Maruti,Vitara Brezza,2020-2024,Electric Parts,Head Light,4736,800,1000,5536,5736
Maruti,Vitara Brezza,2020-2024,Electric Parts,Tail Light,1992,600,800,2592,2792
Maruti,Vitara Brezza,2020-2024,Electric Parts,Head Light LED,10808,800,1000,11608,11808
Maruti,Vitara Brezza,2020-2024,Body Parts,Front Bumper,3138,1200,1500,4338,4638
Maruti,Vitara Brezza,2020-2024,Body Parts,Rear Bumper,1852,1200,1500,3052,3352
Maruti,Vitara Brezza,2020-2024,Body Parts,Bonnet/Hood,7615,1500,2000,9115,9615
Maruti,Vitara Brezza,2020-2024,Body Parts,Front Windshield Glass,4265,1500,1800,5765,6065
Maruti,Vitara Brezza,2020-2024,Body Parts,Rear Windshield Glass,2303,1200,1500,3503,3803
Maruti,Vitara Brezza,2020-2024,Body Parts,Fender,2038,800,1000,2838,3038
Maruti,Vitara Brezza,2020-2024,Body Parts,Front Door,10094,1200,1500,11294,11594
Maruti,Vitara Brezza,2020-2024,Body Parts,Rear Door,8941,1200,1500,10141,10441
Maruti,Vitara Brezza,2020-2024,Body Parts,Dicky,10283,1500,2000,11783,12283
Maruti,Vitara Brezza,2020-2024,Body Parts,Side View Mirror,1949,400,500,2349,2449
Maruti,Vitara Brezza,2020-2024,Brakes & Suspension,Disc Brake Front,1388,800,1000,2188,2388
Maruti,Vitara Brezza,2020-2024,Brakes & Suspension,Disc Brake Rear,1388,800,1000,2188,2388
Maruti,Vitara Brezza,2020-2024,Brakes & Suspension,Front Brake Pads,2748,600,800,3348,3548
Maruti,Vitara Brezza,2020-2024,Brakes & Suspension,Rear Brake Pads,2748,600,800,3348,3548
Maruti,Vitara Brezza,2020-2024,Service Parts,Oil Filter,343,300,400,643,743
Maruti,Vitara Brezza,2020-2024,Service Parts,Air Filter,389,300,400,689,789
Maruti,Vitara Brezza,2020-2024,Service Parts,Fuel Filter,1658,300,400,1958,2058
Hyundai,Venue,2019-2022,Engine Parts,Radiator,5644,1200,1500,6844,7144
Hyundai,Venue,2019-2022,Engine Parts,Timing Chain,2925,2000,2500,4925,5425
Hyundai,Venue,2019-2022,Engine Parts,Spark Plug,1125,300,400,1425,1525
Hyundai,Venue,2019-2022,Engine Parts,Fan Belt,700,400,500,1100,1200
Hyundai,Venue,2019-2022,Engine Parts,Clutch Plate,9600,2500,3000,12100,12600
Hyundai,Venue,2019-2022,Electric Parts,Head Light,15360,800,1000,16160,16360
Hyundai,Venue,2019-2022,Electric Parts,Tail Light,2602,600,800,3202,3402
Hyundai,Venue,2019-2022,Electric Parts,Fog Lamp Assembly,1398,600,800,1998,2198
Hyundai,Venue,2019-2022,Electric Parts,Bulb,537,200,300,737,837
Hyundai,Venue,2019-2022,Electric Parts,Combination Switch,6944,800,1000,7744,7944
Hyundai,Venue,2019-2022,Electric Parts,Horn,1230,300,400,1530,1630
Hyundai,Venue,2019-2022,Body Parts,Front Bumper,1820,1200,1500,3020,3320
Hyundai,Venue,2019-2022,Body Parts,Rear Bumper,3393,1200,1500,4593,4893
Hyundai,Venue,2019-2022,Body Parts,Bonnet/Hood,7919,1500,2000,9419,9919
Hyundai,Venue,2019-2022,Body Parts,Front Windshield Glass,5120,1500,1800,6620,6920
Hyundai,Venue,2019-2022,Body Parts,Rear Windshield Glass,3754,1200,1500,4954,5254
Hyundai,Venue,2019-2022,Body Parts,Fender,2115,800,1000,2915,3115
Hyundai,Venue,2019-2022,Body Parts,Front Door,12400,1200,1500,13600,13900
Hyundai,Venue,2019-2022,Body Parts,Rear Door,11982,1200,1500,13182,13482
Hyundai,Venue,2019-2022,Body Parts,Front Door Handle Outer,393,300,400,693,793
Hyundai,Venue,2019-2022,Body Parts,Back Panel,1886,1000,1200,2886,3086
Hyundai,Venue,2019-2022,Body Parts,Front Panel,1886,1000,1200,2886,3086
Hyundai,Venue,2019-2022,Body Parts,Accessory belt,1086,500,600,1586,1686
Hyundai,Venue,2019-2022,Body Parts,Side View Mirror,7583,600,800,8183,8383
Hyundai,Venue,2019-2022,Body Parts,Silencer Assly,11198,1500,1800,12698,12998
Hyundai,Venue,2019-2022,Body Parts,Wipers,550,300,400,850,950
Hyundai,Venue,2019-2022,Brakes & Suspension,Disc Brake Front,3300,800,1000,4100,4300
Hyundai,Venue,2019-2022,Brakes & Suspension,Disc Brake Rear,3300,800,1000,4100,4300
Hyundai,Venue,2019-2022,Brakes & Suspension,Shock Absorber Set,5890,1200,1500,7090,7390
Hyundai,Venue,2019-2022,Brakes & Suspension,Front Brake Pads,3770,600,800,4370,4570
Hyundai,Venue,2019-2022,Brakes & Suspension,Rear Brake Pads,3770,600,800,4370,4570
Hyundai,Venue,2019-2022,Oil & Lubricants,Engine Oil,1728,300,400,2028,2128
Hyundai,Venue,2019-2022,Oil & Lubricants,Coolant,960,200,300,1160,1260
Hyundai,Venue,2019-2022,Oil & Lubricants,Brake Oil,448,200,300,648,748
Hyundai,Venue,2019-2022,Oil & Lubricants,Clutch Oil,448,200,300,648,748
Hyundai,Venue,2019-2022,Service Parts,Oil Filter,4096,300,400,4396,4496
Hyundai,Venue,2019-2022,Service Parts,Air Filter,384,300,400,684,784
Hyundai,Venue,2019-2022,Service Parts,Fuel Filter,512,300,400,812,912
Tata,Nexon,2020-2023,Engine Parts,Radiator,6728,1200,1500,7928,8228
Tata,Nexon,2020-2023,Engine Parts,Timing Chain,2818,2000,2500,4818,5318
Tata,Nexon,2020-2023,Engine Parts,Spark Plug,576,300,400,876,976
Tata,Nexon,2020-2023,Engine Parts,Clutch Plate,4001,2500,3000,6501,7001
Tata,Nexon,2020-2023,Electric Parts,Head Light,6871,800,1000,7671,7871
Tata,Nexon,2020-2023,Electric Parts,Tail Light,2951,600,800,3551,3751
Tata,Nexon,2020-2023,Electric Parts,Fog Lamp Assembly,2750,600,800,3350,3550
Tata,Nexon,2020-2023,Electric Parts,Bulb,200,200,300,400,500
Tata,Nexon,2020-2023,Electric Parts,Fog Lamp,6347,600,800,6947,7147
Tata,Nexon,2020-2023,Electric Parts,Combination Switch,1978,800,1000,2778,2978
Tata,Nexon,2020-2023,Electric Parts,Horn,588,300,400,888,988
Tata,Nexon,2020-2023,Body Parts,Bonnet/Hood,23000,1800,2200,24800,25200
Tata,Nexon,2020-2023,Body Parts,Rear Windshield Glass,11311,1200,1500,12511,12811
Tata,Nexon,2020-2023,Body Parts,Fender,4278,800,1000,5078,5278
Tata,Nexon,2020-2023,Body Parts,Front Door Handle Outer,1537,300,400,1837,1937
Tata,Nexon,2020-2023,Body Parts,Back Panel,1594,1000,1200,2594,2794
Tata,Nexon,2020-2023,Body Parts,Front Panel,1593,1000,1200,2593,2793
Tata,Nexon,2020-2023,Body Parts,Accessory belt,1082,500,600,1582,1682
Tata,Nexon,2020-2023,Body Parts,BACK DOOR,41000,2000,2500,43000,43500
Tata,Nexon,2020-2023,Body Parts,Fuel Tank,7904,1500,1800,9404,9704
Tata,Nexon,2020-2023,Body Parts,Side View Mirror,5888,600,800,6488,6688
Tata,Nexon,2020-2023,Body Parts,Silencer Assly,8439,1500,1800,9939,10239
Tata,Nexon,2020-2023,Body Parts,Wipers,747,300,400,1047,1147
Tata,Nexon,2020-2023,Brakes & Suspension,Disc Brake Front,2618,800,1000,3418,3618
Tata,Nexon,2020-2023,Brakes & Suspension,Disc Brake Rear,2618,800,1000,3418,3618
Tata,Nexon,2020-2023,Brakes & Suspension,Shock Absorber Set,3313,1200,1500,4513,4813
Tata,Nexon,2020-2023,Brakes & Suspension,Front Brake Pads,2890,600,800,3490,3690
Tata,Nexon,2020-2023,Brakes & Suspension,Rear Brake Pads,2890,600,800,3490,3690
Tata,Nexon,2020-2023,Service Parts,Oil Filter,702,300,400,1002,1102
Tata,Nexon,2020-2023,Service Parts,Air Filter,408,300,400,708,808
Tata,Nexon,2020-2023,Service Parts,Fuel Filter,4162,300,400,4462,4562
Mahindra,XUV300,2020-2024,Engine Parts,Radiator,7539,1200,1500,8739,9039
Mahindra,XUV300,2020-2024,Engine Parts,Intercooler,5300,1500,1800,6800,7100
Mahindra,XUV300,2020-2024,Engine Parts,Timing Chain,1131,2000,2500,3131,3631
Mahindra,XUV300,2020-2024,Engine Parts,Spark Plug,322,300,400,622,722
Mahindra,XUV300,2020-2024,Engine Parts,Cylinder Kit,47914,3500,4000,51414,51914
Mahindra,XUV300,2020-2024,Engine Parts,Clutch Plate,6726,2500,3000,9226,9726
Mahindra,XUV300,2020-2024,Electric Parts,Head Light,4404,800,1000,5204,5404
Mahindra,XUV300,2020-2024,Electric Parts,Tail Light,3690,600,800,4290,4490
Mahindra,XUV300,2020-2024,Electric Parts,Fog Lamp Assembly,1011,600,800,1611,1811
Mahindra,XUV300,2020-2024,Electric Parts,Bulb,583,200,300,783,883
Mahindra,XUV300,2020-2024,Electric Parts,Fog Lamp,2022,600,800,2622,2822
Mahindra,XUV300,2020-2024,Electric Parts,Combination Switch,4083,800,1000,4883,5083
Mahindra,XUV300,2020-2024,Electric Parts,Horn,535,300,400,835,935
Mahindra,XUV300,2020-2024,Body Parts,Front Bumper,4020,1200,1500,5220,5520
Mahindra,XUV300,2020-2024,Body Parts,Rear Bumper,3956,1200,1500,5156,5456
Mahindra,XUV300,2020-2024,Body Parts,Bonnet/Hood,8213,1500,2000,9713,10213
Mahindra,XUV300,2020-2024,Body Parts,Front Windshield Glass,8697,1500,1800,10197,10497
Mahindra,XUV300,2020-2024,Body Parts,Rear Windshield Glass,8518,1200,1500,9718,10018
Mahindra,XUV300,2020-2024,Body Parts,Fender,2202,800,1000,3002,3202
Mahindra,XUV300,2020-2024,Body Parts,Front Door Handle Outer,921,300,400,1221,1321
Mahindra,XUV300,2020-2024,Body Parts,Rear View Mirror,1209,400,500,1609,1709
Mahindra,XUV300,2020-2024,Body Parts,Back Panel,2845,1000,1200,3845,4045
Mahindra,XUV300,2020-2024,Body Parts,Front Panel,2845,1000,1200,3845,4045
Mahindra,XUV300,2020-2024,Body Parts,Accessory belt,3197,500,600,3697,3797
Mahindra,XUV300,2020-2024,Body Parts,Side View Mirror,2511,400,500,2911,3011
Mahindra,XUV300,2020-2024,Body Parts,Silencer Assly,21687,1500,1800,23187,23487
Mahindra,XUV300,2020-2024,Body Parts,Engine Guard,2321,800,1000,3121,3221
Mahindra,XUV300,2020-2024,Body Parts,Wipers,1077,300,400,1377,1477
Mahindra,XUV300,2020-2024,Brakes & Suspension,Disc Brake Front,2202,800,1000,3002,3202
Mahindra,XUV300,2020-2024,Brakes & Suspension,Disc Brake Rear,2202,800,1000,3002,3202
Mahindra,XUV300,2020-2024,Brakes & Suspension,Shock Absorber Set,2008,1200,1500,3208,3508
Mahindra,XUV300,2020-2024,Brakes & Suspension,Front Brake Pads,3274,600,800,3874,4074
Mahindra,XUV300,2020-2024,Brakes & Suspension,Rear Brake Pads,3274,600,800,3874,4074
Mahindra,XUV300,2020-2024,Service Parts,Oil Filter,204,300,400,504,604
Mahindra,XUV300,2020-2024,Service Parts,Air Filter,378,300,400,678,778
Mahindra,XUV300,2020-2024,Service Parts,Fuel Filter,709,300,400,1009,1109
Hyundai,Alcazar,2021-2024,Oil & Lubricants,Engine Oil,1656,300,400,1956,2056
Hyundai,Alcazar,2021-2024,Oil & Lubricants,Coolant,650,200,300,850,950
Hyundai,Alcazar,2021-2024,Oil & Lubricants,Brake Oil,225,200,300,425,525
Hyundai,Alcazar,2021-2024,Service Parts,Oil Filter,203,300,400,503,603
Hyundai,Alcazar,2021-2024,Service Parts,Air Filter,184,300,400,484,584
Skoda,Rapid,2012-2022,Engine Parts,Radiator,5644,1200,1500,6844,7144
Skoda,Rapid,2012-2022,Engine Parts,Intercooler,11450,1500,1800,12950,13250
Skoda,Rapid,2012-2022,Engine Parts,Auxilary drive belt,945,400,500,1345,1445
Skoda,Rapid,2012-2022,Engine Parts,Timing Chain,4090,2000,2500,6090,6590
Skoda,Rapid,2012-2022,Engine Parts,Spark Plug,299,300,400,599,699
Skoda,Rapid,2012-2022,Engine Parts,Fan Belt,1760,400,500,2160,2260
Skoda,Rapid,2012-2022,Engine Parts,Clutch Plate,5715,2500,3000,8215,8715
Skoda,Rapid,2012-2022,Electric Parts,Head Light,4065,800,1000,4865,5065
Skoda,Rapid,2012-2022,Electric Parts,Tail Light,1914,600,800,2514,2714
Skoda,Rapid,2012-2022,Electric Parts,Fog Lamp Assembly,5445,600,800,6045,6245
Skoda,Rapid,2012-2022,Electric Parts,Bulb,575,200,300,775,875
Skoda,Rapid,2012-2022,Electric Parts,Head Light LED,8444,800,1000,9244,9444
Skoda,Rapid,2012-2022,Electric Parts,Combination Switch,1548,800,1000,2348,2548
Skoda,Rapid,2012-2022,Electric Parts,Speedometer,11546,1000,1200,12546,12746
Skoda,Rapid,2012-2022,Electric Parts,Horn,1250,300,400,1550,1650
Skoda,Rapid,2012-2022,Body Parts,Front Bumper,2446,1200,1500,3646,3946
Skoda,Rapid,2012-2022,Body Parts,Rear Bumper,3413,1200,1500,4613,4913
Skoda,Rapid,2012-2022,Body Parts,Bonnet/Hood,7344,1500,2000,8844,9344
Skoda,Rapid,2012-2022,Body Parts,Front Windshield Glass,4839,1500,1800,6339,6639
Skoda,Rapid,2012-2022,Body Parts,Rear Windshield Glass,4550,1200,1500,5750,6050
Skoda,Rapid,2012-2022,Body Parts,Fender,4550,800,1000,5350,5550
Skoda,Rapid,2012-2022,Body Parts,Front Door,13198,1200,1500,14398,14698
Skoda,Rapid,2012-2022,Body Parts,Rear Door,10694,1200,1500,11894,12194
Skoda,Rapid,2012-2022,Body Parts,Dicky,11376,1500,2000,12876,13376
Skoda,Rapid,2012-2022,Body Parts,Front Door Handle Outer,426,300,400,726,826
Skoda,Rapid,2012-2022,Body Parts,Rear View Mirror,5487,400,500,5887,5987
Skoda,Rapid,2012-2022,Body Parts,Back Panel,7295,1000,1200,8295,8495
Skoda,Rapid,2012-2022,Body Parts,Front Panel,7295,1000,1200,8295,8495
Skoda,Rapid,2012-2022,Body Parts,Accessory belt,1236,500,600,1736,1836
Skoda,Rapid,2012-2022,Body Parts,BACK DOOR,2719,1500,2000,4219,4719
Skoda,Rapid,2012-2022,Body Parts,Side View Mirror,849,400,500,1249,1349
Skoda,Rapid,2012-2022,Body Parts,Wipers,590,300,400,890,990
Skoda,Rapid,2012-2022,Brakes & Suspension,Disc Brake Front,2175,800,1000,2975,3175
Skoda,Rapid,2012-2022,Brakes & Suspension,Disc Brake Rear,2175,800,1000,2975,3175
Skoda,Rapid,2012-2022,Brakes & Suspension,Shock Absorber Set,1555,1200,1500,2755,3055
Skoda,Rapid,2012-2022,Brakes & Suspension,Front Brake Pads,1845,600,800,2445,2645
Skoda,Rapid,2012-2022,Brakes & Suspension,Rear Brake Pads,1845,600,800,2445,2645
Skoda,Rapid,2012-2022,Service Parts,Oil Filter,669,300,400,969,1069
Skoda,Rapid,2012-2022,Service Parts,Air Filter,349,300,400,649,749
Skoda,Rapid,2012-2022,Service Parts,Fuel Filter,1285,300,400,1585,1685
MG,Astor,2021-2024,Accessories,Mud flaps,499,200,300,699,799
MG,Astor,2021-2024,Accessories,Black bumper corner protector,1099,300,400,1399,1499
MG,Astor,2021-2024,Accessories,Chrome bumper corner protector,1299,300,400,1599,1699
MG,Astor,2021-2024,Accessories,Chrome outside door handle,1749,300,400,2049,2149
MG,Astor,2021-2024,Accessories,Front fog lamp chrome garnish,1299,300,400,1599,1699
MG,Astor,2021-2024,Accessories,Rear fog lamp chrome garnish,1350,300,400,1650,1750
MG,Astor,2021-2024,Accessories,Headlamp chrome garnish,1749,300,400,2049,2149
MG,Astor,2021-2024,Accessories,ORVM chrome garnish,899,300,400,1199,1299
MG,Astor,2021-2024,Accessories,Tail lamp chrome garnish,1599,300,400,1899,1999
MG,Astor,2021-2024,Accessories,Tailgate chrome garnish,1499,300,400,1799,1899
MG,Astor,2021-2024,Accessories,Wheel arch chrome garnish,3999,400,500,4399,4499
MG,Astor,2021-2024,Accessories,Front lower chrome surround,1199,300,400,1499,1599
MG,Astor,2021-2024,Accessories,Black body side moulding,2399,400,500,2799,2899
MG,Astor,2021-2024,Accessories,Chrome body side moulding,2999,400,500,3399,3499
MG,Astor,2021-2024,Accessories,Chrome door visor,2799,400,500,3199,3299
MG,Astor,2021-2024,Accessories,Door visor,2299,400,500,2699,2799
MG,Astor,2021-2024,Accessories,Boot sill guard,1599,300,400,1899,1999
MG,Astor,2021-2024,Accessories,Door sill guard,1659,300,400,1959,2059
MG,Astor,2021-2024,Accessories,Black tail lamp connector,1299,300,400,1599,1699
MG,Astor,2021-2024,Accessories,Chrome tail lamp connector,1799,300,400,2099,2199
MG,Astor,2021-2024,Accessories,Car cover,1980,200,300,2180,2280
MG,Astor,2021-2024,Accessories,Spoiler extension,3099,400,500,3499,3599
MG,Astor,2021-2024,Accessories,Rear bull bar,3999,500,600,4499,4599
MG,Astor,2021-2024,Accessories,Door edge guard,1799,300,400,2099,2199
MG,Astor,2021-2024,Accessories,Hood scoop,3799,400,500,4199,4299
MG,Astor,2021-2024,Accessories,Side scoop,3399,400,500,3799,3899
MG,Astor,2021-2024,Accessories,Illuminated wheel hub,5999,600,800,6599,6799
MG,Astor,2021-2024,Accessories,Chrome/Black hood lettering,1374,300,400,1674,1774
MG,Astor,2021-2024,Accessories,Fuel lid garnish,1849,300,400,2149,2249
MG,Astor,2021-2024,Accessories,Sidestep board,16140,800,1000,16940,17140
MG,Astor,2021-2024,Accessories,Paint protection coating,5685,500,600,6185,6285
MG,Astor,2021-2024,Accessories,Exhaust finisher,2499,300,400,2799,2899
MG,Astor,2021-2024,Accessories,Puddle lamps,3999,400,500,4399,4499
MG,Astor,2021-2024,Accessories,360-degree camera,13909,800,1000,14709,14909
MG,Astor,2021-2024,Accessories,Body graphics,2399,400,500,2799,2899
MG,Astor,2021-2024,Accessories,Bicycle carrier,6762,500,600,7262,7362
MG,Astor,2021-2024,Accessories,Chrome cleaning kit,375,100,200,475,575
MG,Astor,2021-2024,Accessories,Car care kit,599,200,300,799,899
MG,Astor,2021-2024,Accessories,Tyre inflator,3228,300,400,3528,3628
MG,Astor,2021-2024,Accessories,Jumper cable,2062,200,300,2262,2362
MG,Astor,2021-2024,Accessories,Emergency car kit,5018,400,500,5418,5518
Renault,Kiger,2021-2024,Accessories,16-inch alloy wheels,7450,800,1000,8250,8450
Renault,Kiger,2021-2024,Accessories,Alloy wheel inserts,750,200,300,950,1050
Renault,Kiger,2021-2024,Accessories,Anti-slip dashboard mat,189,100,200,289,389
Renault,Kiger,2021-2024,Accessories,Black bumper corner protector,850,300,400,1150,1250
Renault,Kiger,2021-2024,Accessories,Chrome bumper corner protector,1524,300,400,1824,1924
Renault,Kiger,2021-2024,Accessories,Body decals,5500,400,500,5900,6000
Renault,Kiger,2021-2024,Accessories,Body side cladding with chrome,4690,400,500,5090,5190
Renault,Kiger,2021-2024,Accessories,Body cover,1900,200,300,2100,2200
Renault,Kiger,2021-2024,Accessories,Chrome outside door handle,1092,300,400,1392,1492
Renault,Kiger,2021-2024,Accessories,Door visor,1950,400,500,2350,2450
Renault,Kiger,2021-2024,Accessories,Front bumper chrome,780,300,400,1080,1180
Renault,Kiger,2021-2024,Accessories,Front grille chrome inserts,1350,300,400,1650,1750
Renault,Kiger,2021-2024,Accessories,Front grille chrome liner,980,300,400,1280,1380
Renault,Kiger,2021-2024,Accessories,Front grille chrome garnish,1600,300,400,1900,2000
Renault,Kiger,2021-2024,Accessories,Front parking sensor,2489,400,500,2889,2989
Renault,Kiger,2021-2024,Accessories,Window frame kit,1900,400,500,2300,2400
Renault,Kiger,2021-2024,Accessories,ORVM chrome garnish,620,300,400,920,1020
Renault,Kiger,2021-2024,Accessories,Mud flaps,410,200,300,610,710
Renault,Kiger,2021-2024,Accessories,Mud flap kit,750,200,300,950,1050
Renault,Kiger,2021-2024,Accessories,Tailgate chrome,1800,300,400,2100,2200
Renault,Kiger,2021-2024,Accessories,Rear bumper chrome,650,300,400,950,1050
Renault,Kiger,2021-2024,Accessories,Boot sill guard,1490,300,400,1790,1890
Renault,Kiger,2021-2024,Accessories,Roof carrier,9990,800,1000,10790,10990
Renault,Kiger,2021-2024,Accessories,Functional roof rails,8990,800,1000,9790,9990
Renault,Kiger,2021-2024,Accessories,Valve cap,120,100,200,220,320
Renault,Kiger,2021-2024,Accessories,Door edge guard,290,200,300,490,590
Renault,Kiger,2021-2024,Accessories,Licence plate holder,499,200,300,699,799
Nissan,Magnite,2020-2024,Engine Parts,Radiator,9452,1200,1500,10652,10952
Nissan,Magnite,2020-2024,Engine Parts,Intercooler,9985,1500,1800,11485,11785
Nissan,Magnite,2020-2024,Engine Parts,Timing Chain,5383,2000,2500,7383,7883
Nissan,Magnite,2020-2024,Engine Parts,Spark Plug,936,300,400,1236,1336
Nissan,Magnite,2020-2024,Engine Parts,Clutch Plate,5466,2500,3000,7966,8466
Nissan,Magnite,2020-2024,Electric Parts,Tail Light,3966,600,800,4566,4766
Nissan,Magnite,2020-2024,Electric Parts,Fog Lamp Assembly,4556,600,800,5156,5356
Nissan,Magnite,2020-2024,Electric Parts,Bulb,420,200,300,620,720
Nissan,Magnite,2020-2024,Electric Parts,Combination Switch,5789,800,1000,6589,6789
Nissan,Magnite,2020-2024,Electric Parts,Horn,1517,300,400,1817,1917
Nissan,Magnite,2020-2024,Body Parts,Bonnet/Hood,5300,1500,2000,6800,7300
Nissan,Magnite,2020-2024,Body Parts,Fender,4962,800,1000,5762,5962
Nissan,Magnite,2020-2024,Body Parts,Dicky,6400,1500,2000,7900,8400
Nissan,Magnite,2020-2024,Body Parts,Front Door Handle Outer,496,300,400,796,896
Nissan,Magnite,2020-2024,Body Parts,Rear View Mirror,499,400,500,899,999
Nissan,Magnite,2020-2024,Body Parts,Back Panel,2432,1000,1200,3432,3632
Nissan,Magnite,2020-2024,Body Parts,Front Panel,2432,1000,1200,3432,3632
Nissan,Magnite,2020-2024,Body Parts,Accessory belt,1480,500,600,1980,2080
Nissan,Magnite,2020-2024,Body Parts,Side View Mirror,3154,400,500,3554,3654
Nissan,Magnite,2020-2024,Body Parts,Silencer Assly,6500,1500,1800,8000,8300
Nissan,Magnite,2020-2024,Body Parts,Wipers,360,300,400,660,760
Nissan,Magnite,2020-2024,Brakes & Suspension,Disc Brake Front,4457,800,1000,5257,5457
Nissan,Magnite,2020-2024,Brakes & Suspension,Disc Brake Rear,4457,800,1000,5257,5457
Nissan,Magnite,2020-2024,Brakes & Suspension,Shock Absorber Set,4792,1200,1500,5992,6292
Nissan,Magnite,2020-2024,Brakes & Suspension,Front Brake Pads,2291,600,800,2891,3091
Nissan,Magnite,2020-2024,Brakes & Suspension,Rear Brake Pads,2291,600,800,2891,3091
Nissan,Magnite,2020-2024,Service Parts,Oil Filter,544,300,400,844,944
Nissan,Magnite,2020-2024,Service Parts,Air Filter,664,300,400,964,1064
Nissan,Magnite,2020-2024,Service Parts,Fuel Filter,2070,300,400,2370,2470
Hyundai,i20,2020-2023,Engine Parts,Radiator,3600,1200,1500,4800,5100
Hyundai,i20,2020-2023,Engine Parts,Timing Chain,6148,2000,2500,8148,8648
Hyundai,i20,2020-2023,Engine Parts,Spark Plug,369,300,400,669,769
Hyundai,i20,2020-2023,Engine Parts,Clutch Plate,6144,2500,3000,8644,9144
Hyundai,i20,2020-2023,Electric Parts,Head Light,4748,800,1000,5548,5748
Hyundai,i20,2020-2023,Electric Parts,Tail Light,1920,600,800,2520,2720
Hyundai,i20,2020-2023,Electric Parts,Fog Lamp Assembly,2512,600,800,3112,3312
Hyundai,i20,2020-2023,Electric Parts,Bulb,537,200,300,737,837
Hyundai,i20,2020-2023,Electric Parts,Combination Switch,2807,800,1000,3607,3807
Hyundai,i20,2020-2023,Body Parts,Front Bumper,1625,1200,1500,2825,3125
Hyundai,i20,2020-2023,Body Parts,Rear Bumper,2412,1200,1500,3612,3912
Hyundai,i20,2020-2023,Body Parts,Bonnet/Hood,3929,1500,2000,5429,5929
Hyundai,i20,2020-2023,Body Parts,Front Windshield Glass,3584,1500,1800,5084,5384
Hyundai,i20,2020-2023,Body Parts,Rear Windshield Glass,2649,1200,1500,3849,4149
Hyundai,i20,2020-2023,Body Parts,Fender,1459,800,1000,2259,2459
Hyundai,i20,2020-2023,Body Parts,Front Door,6334,1200,1500,7534,7834
Hyundai,i20,2020-2023,Body Parts,Rear Door,7770,1200,1500,8970,9270
Hyundai,i20,2020-2023,Body Parts,Dicky,3776,1500,2000,5276,5776
Hyundai,i20,2020-2023,Body Parts,Front Door Handle Outer,393,300,400,693,793
Hyundai,i20,2020-2023,Body Parts,Back Panel,1713,1000,1200,2713,2913
Hyundai,i20,2020-2023,Body Parts,Front Panel,1713,1000,1200,2713,2913
Hyundai,i20,2020-2023,Body Parts,Accessory belt,1240,500,600,1740,1840
Hyundai,i20,2020-2023,Body Parts,Side View Mirror,3401,400,500,3801,3901
Hyundai,i20,2020-2023,Body Parts,Wipers,1698,300,400,1998,2098
Hyundai,i20,2020-2023,Brakes & Suspension,Disc Brake Front,7505,800,1000,8305,8505
Hyundai,i20,2020-2023,Brakes & Suspension,Disc Brake Rear,7505,800,1000,8305,8505
Hyundai,i20,2020-2023,Brakes & Suspension,Shock Absorber Set,2040,1200,1500,3240,3540
Hyundai,i20,2020-2023,Brakes & Suspension,Front Brake Pads,2536,600,800,3136,3336
Hyundai,i20,2020-2023,Brakes & Suspension,Rear Brake Pads,2536,600,800,3136,3336
Hyundai,i20,2020-2023,Service Parts,Oil Filter,470,300,400,770,870
Hyundai,i20,2020-2023,Service Parts,Air Filter,1354,300,400,1654,1754
Hyundai,i20,2020-2023,Service Parts,Fuel Filter,1986,300,400,2286,2386
Kia,Seltos,2019-2023,Accessories,Boot Mat,1005,200,300,1205,1305
Kia,Seltos,2019-2023,Accessories,Boot Organizer,1651,200,300,1851,1951
Kia,Seltos,2019-2023,Accessories,Boot Chrome Accent,869,300,400,1169,1269
Kia,Seltos,2019-2023,Accessories,Tissue Box,595,100,200,695,795
